,Unique ID,Athlete Name,Date,Workout Name,Workout Time (min),Exercise Name,Set Number,Weight,Reps,Volume,RPE,% 1RM,E 1RM
,1,Nicholas Scott,3/20/2023,Push 1,72,Tricep Pushdown,1,70,10,700,,,
,2,Nicholas Scott,3/20/2023,Push 1,72,Tricep Pushdown,2,70,10,700,,,
,3,Nicholas Scott,3/20/2023,Push 1,72,Tricep Pushdown,3,70,10,700,,,
,4,Nicholas Scott,3/20/2023,Push 1,72,DB Front Raise,1,45,10,450,,,
,5,Nicholas Scott,3/20/2023,Push 1,72,DB Front Raise,2,45,10,450,,,
,6,Nicholas Scott,3/20/2023,Push 1,72,DB Front Raise,3,45,10,450,,,
,7,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,1,135,10,1350,6,,
,8,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,2,185,7,1295,7.5,76%,245
,9,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,3,225,5,1125,9,86%,260
,10,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,4,230,4,920,9.5,91%,255
,11,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,5,230,4,920,9.5,91%,255
,12,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,6,230,3,690,10,96%,240
,13,Nicholas Scott,3/20/2023,Push 1,72,Bench Press,7,230,3,690,10,96%,240
,14,Nicholas Scott,3/20/2023,Push 1,72,Arnold Press,1,50,10,500,,,
,15,Nicholas Scott,3/20/2023,Push 1,72,Arnold Press,2,50,10,500,,,
,16,Nicholas Scott,3/20/2023,Push 1,72,Arnold Press,3,50,9,450,,,
,17,Nicholas Scott,3/20/2023,Push 1,72,DB Lateral Raise,1,30,10,300,,,
,18,Nicholas Scott,3/20/2023,Push 1,72,DB Lateral Raise,2,30,10,300,,,
,19,Nicholas Scott,3/20/2023,Push 1,72,DB Lateral Raise,3,30,10,300,,,
,20,Nicholas Scott,3/20/2023,Push 1,72,Tricep EZ Bar Overhead Press,1,65,10,650,,,
,21,Nicholas Scott,3/20/2023,Push 1,72,Tricep EZ Bar Overhead Press,2,65,10,650,,,
,22,Nicholas Scott,3/20/2023,Push 1,72,Tricep EZ Bar Overhead Press,3,65,10,650,,,
,23,Nicholas Scott,3/20/2023,Push 1,72,DB Fly,1,45,10,450,,,
,24,Nicholas Scott,3/20/2023,Push 1,72,DB Fly,2,45,10,450,,,
,25,Nicholas Scott,3/20/2023,Push 1,72,DB Fly,3,45,10,450,,,
,26,Nicholas Scott,3/20/2023,Push 1,72,DB Incline Bench Press,1,75,10,750,,,
,27,Nicholas Scott,3/20/2023,Push 1,72,DB Incline Bench Press,2,75,10,750,,,
,28,Nicholas Scott,3/20/2023,Push 1,72,DB Incline Bench Press,3,75,10,750,,,
,29,Nicholas Scott,3/21/2023,Pull 1,79,Cable Row,1,80,10,800,,,
,30,Nicholas Scott,3/21/2023,Pull 1,79,Cable Row,2,80,10,800,,,
,31,Nicholas Scott,3/21/2023,Pull 1,79,Cable Row,3,80,10,800,,,
,32,Nicholas Scott,3/21/2023,Pull 1,79,Bicep Curl,1,35,10,350,,,
,33,Nicholas Scott,3/21/2023,Pull 1,79,Bicep Curl,2,35,10,350,,,
,34,Nicholas Scott,3/21/2023,Pull 1,79,Bicep Curl,3,35,10,350,,,
,35,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,1,155,10,1550,6,,
,36,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,2,145,7,1015,7.5,76%,190
,37,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,3,165,5,825,9,86%,190
,38,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,4,170,4,680,9.5,91%,185
,39,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,5,170,4,680,9.5,91%,185
,40,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,6,170,3,510,10,96%,180
,41,Nicholas Scott,3/21/2023,Pull 1,79,Deadlift,7,170,3,510,10,96%,180
,42,Nicholas Scott,3/21/2023,Pull 1,79,Cable Reverse Fly,1,15,10,150,,,
,43,Nicholas Scott,3/21/2023,Pull 1,79,Cable Reverse Fly,2,15,10,150,,,
,44,Nicholas Scott,3/21/2023,Pull 1,79,Cable Reverse Fly,3,15,10,150,,,
,45,Nicholas Scott,3/21/2023,Pull 1,79,Shrugs,1,75,10,750,,,
,46,Nicholas Scott,3/21/2023,Pull 1,79,Shrugs,2,75,10,750,,,
,47,Nicholas Scott,3/21/2023,Pull 1,79,Shrugs,3,75,10,750,,,
,48,Nicholas Scott,3/21/2023,Pull 1,79,Lat Pull Down,1,80,10,800,,,
,49,Nicholas Scott,3/21/2023,Pull 1,79,Lat Pull Down,2,80,10,800,,,
,50,Nicholas Scott,3/21/2023,Pull 1,79,Lat Pull Down,3,80,10,800,,,
,51,Nicholas Scott,3/21/2023,Pull 1,79,Incline Bicep Curl,1,30,10,300,,,
,52,Nicholas Scott,3/21/2023,Pull 1,79,Incline Bicep Curl,2,30,10,300,,,
,53,Nicholas Scott,3/21/2023,Pull 1,79,Incline Bicep Curl,3,30,10,300,,,
,54,Nicholas Scott,3/21/2023,Pull 1,79,Facepull,1,72.5,10,725,,,
,55,Nicholas Scott,3/21/2023,Pull 1,79,Facepull,2,72.5,10,725,,,
,56,Nicholas Scott,3/21/2023,Pull 1,79,Facepull,3,72.5,10,725,,,
,57,Nicholas Scott,3/22/2023,Legs 1,64,Single Leg Press,1,115,10,1150,,,
,58,Nicholas Scott,3/22/2023,Legs 1,64,Single Leg Press,2,115,10,1150,,,
,59,Nicholas Scott,3/22/2023,Legs 1,64,Single Leg Press,3,115,10,1150,,,
,60,Nicholas Scott,3/22/2023,Legs 1,64,Squat,1,135,10,1350,6,,
,61,Nicholas Scott,3/22/2023,Legs 1,64,Squat,2,225,7,1575,7.5,76%,295
